,elevation,flight,iteration,band,accuracy,image_processing,grouped_band
105,100,pre-sunset,3,RGB-LWIR_IP,0.868,Yes,RGB-LWIR
106,150,pre-sunset,3,RGB-LWIR_IP,0.898,Yes,RGB-LWIR
107,200,pre-sunset,3,RGB-LWIR_IP,0.708,Yes,RGB-LWIR
108,250,pre-sunset,3,RGB-LWIR_IP,0.732,Yes,RGB-LWIR
109,300,pre-sunset,3,RGB-LWIR_IP,0.605,Yes,RGB-LWIR
110,350,pre-sunset,3,RGB-LWIR_IP,0.439,Yes,RGB-LWIR
111,400,pre-sunset,3,RGB-LWIR_IP,0.339,Yes,RGB-LWIR
112,50,post-sunset,3,RGB-LWIR_IP,1.0,Yes,RGB-LWIR
113,100,post-sunset,3,RGB-LWIR_IP,0.999,Yes,RGB-LWIR
114,150,post-sunset,3,RGB-LWIR_IP,0.616,Yes,RGB-LWIR
115,200,post-sunset,3,RGB-LWIR_IP,0.291,Yes,RGB-LWIR
116,250,post-sunset,3,RGB-LWIR_IP,0.875,Yes,RGB-LWIR
117,300,post-sunset,3,RGB-LWIR_IP,0.239,Yes,RGB-LWIR
118,350,post-sunset,3,RGB-LWIR_IP,0.109,Yes,RGB-LWIR
119,400,post-sunset,3,RGB-LWIR_IP,0.183,Yes,RGB-LWIR
120,50,pre-sunrise,4,RGB-LWIR_IP,0.998,Yes,RGB-LWIR
121,100,pre-sunrise,4,RGB-LWIR_IP,0.605,Yes,RGB-LWIR
122,150,pre-sunrise,4,RGB-LWIR_IP,0.13,Yes,RGB-LWIR
123,200,pre-sunrise,4,RGB-LWIR_IP,0.0,Yes,RGB-LWIR
124,250,pre-sunrise,4,RGB-LWIR_IP,0.0,Yes,RGB-LWIR
125,300,pre-sunrise,4,RGB-LWIR_IP,0.19,Yes,RGB-LWIR
126,350,pre-sunrise,4,RGB-LWIR_IP,0.0,Yes,RGB-LWIR
127,400,pre-sunrise,4,RGB-LWIR_IP,0.0,Yes,RGB-LWIR
128,50,post-sunrise,4,RGB-LWIR_IP,1.0,Yes,RGB-LWIR
129,100,post-sunrise,4,RGB-LWIR_IP,1.0,Yes,RGB-LWIR
130,150,post-sunrise,4,RGB-LWIR_IP,0.755,Yes,RGB-LWIR
131,200,post-sunrise,4,RGB-LWIR_IP,0.831,Yes,RGB-LWIR
132,250,post-sunrise,4,RGB-LWIR_IP,0.755,Yes,RGB-LWIR
133,300,post-sunrise,4,RGB-LWIR_IP,0.862,Yes,RGB-LWIR
134,350,post-sunrise,4,RGB-LWIR_IP,0.205,Yes,RGB-LWIR
135,400,post-sunrise,4,RGB-LWIR_IP,0.277,Yes,RGB-LWIR
136,50,noon,4,RGB-LWIR_IP,0.605,Yes,RGB-LWIR
137,100,noon,4,RGB-LWIR_IP,0.914,Yes,RGB-LWIR
138,150,noon,4,RGB-LWIR_IP,0.851,Yes,RGB-LWIR
139,200,noon,4,RGB-LWIR_IP,0.913,Yes,RGB-LWIR
140,250,noon,4,RGB-LWIR_IP,0.477,Yes,RGB-LWIR
141,300,noon,4,RGB-LWIR_IP,0.598,Yes,RGB-LWIR
142,350,noon,4,RGB-LWIR_IP,0.0529,Yes,RGB-LWIR
143,400,noon,4,RGB-LWIR_IP,0.37,Yes,RGB-LWIR
144,50,pre-sunset,4,RGB-LWIR_IP,1.0,Yes,RGB-LWIR
145,100,pre-sunset,4,RGB-LWIR_IP,0.672,Yes,RGB-LWIR
146,150,pre-sunset,4,RGB-LWIR_IP,0.806,Yes,RGB-LWIR
147,200,pre-sunset,4,RGB-LWIR_IP,0.856,Yes,RGB-LWIR
148,250,pre-sunset,4,RGB-LWIR_IP,0.755,Yes,RGB-LWIR
149,300,pre-sunset,4,RGB-LWIR_IP,0.443,Yes,RGB-LWIR
150,350,pre-sunset,4,RGB-LWIR_IP,0.393,Yes,RGB-LWIR
151,400,pre-sunset,4,RGB-LWIR_IP,0.377,Yes,RGB-LWIR
152,50,post-sunset,4,RGB-LWIR_IP,0.964,Yes,RGB-LWIR
153,100,post-sunset,4,RGB-LWIR_IP,0.838,Yes,RGB-LWIR
154,150,post-sunset,4,RGB-LWIR_IP,0.701,Yes,RGB-LWIR
155,200,post-sunset,4,RGB-LWIR_IP,0.474,Yes,RGB-LWIR
156,250,post-sunset,4,RGB-LWIR_IP,0.705,Yes,RGB-LWIR
157,300,post-sunset,4,RGB-LWIR_IP,0.152,Yes,RGB-LWIR
158,350,post-sunset,4,RGB-LWIR_IP,0.109,Yes,RGB-LWIR
159,400,post-sunset,4,RGB-LWIR_IP,0.169,Yes,RGB-LWIR
160,50,pre-sunrise,5,RGB-LWIR_IP,1.0,Yes,RGB-LWIR
161,100,pre-sunrise,5,RGB-LWIR_IP,1.0,Yes,RGB-LWIR
162,150,pre-sunrise,5,RGB-LWIR_IP,0.505,Yes,RGB-LWIR
163,200,pre-sunrise,5,RGB-LWIR_IP,0.0,Yes,RGB-LWIR
164,250,pre-sunrise,5,RGB-LWIR_IP,0.0,Yes,RGB-LWIR
165,300,pre-sunrise,5,RGB-LWIR_IP,0.163,Yes,RGB-LWIR
166,350,pre-sunrise,5,RGB-LWIR_IP,0.063,Yes,RGB-LWIR
167,400,pre-sunrise,5,RGB-LWIR_IP,0.0,Yes,RGB-LWIR
168,50,post-sunrise,5,RGB-LWIR_IP,0.695,Yes,RGB-LWIR
169,100,post-sunrise,5,RGB-LWIR_IP,1.0,Yes,RGB-LWIR
170,150,post-sunrise,5,RGB-LWIR_IP,1.0,Yes,RGB-LWIR
171,200,post-sunrise,5,RGB-LWIR_IP,0.988,Yes,RGB-LWIR
172,250,post-sunrise,5,RGB-LWIR_IP,0.626,Yes,RGB-LWIR
173,300,post-sunrise,5,RGB-LWIR_IP,0.13,Yes,RGB-LWIR
174,350,post-sunrise,5,RGB-LWIR_IP,0.205,Yes,RGB-LWIR
175,400,post-sunrise,5,RGB-LWIR_IP,0.157,Yes,RGB-LWIR
176,50,noon,5,RGB-LWIR_IP,0.671,Yes,RGB-LWIR
177,100,noon,5,RGB-LWIR_IP,1.0,Yes,RGB-LWIR
178,150,noon,5,RGB-LWIR_IP,1.0,Yes,RGB-LWIR
179,200,noon,5,RGB-LWIR_IP,0.792,Yes,RGB-LWIR
180,250,noon,5,RGB-LWIR_IP,0.477,Yes,RGB-LWIR
181,300,noon,5,RGB-LWIR_IP,0.585,Yes,RGB-LWIR
182,350,noon,5,RGB-LWIR_IP,0.657,Yes,RGB-LWIR
183,400,noon,5,RGB-LWIR_IP,0.331,Yes,RGB-LWIR
184,50,pre-sunset,5,RGB-LWIR_IP,0.672,Yes,RGB-LWIR
185,100,pre-sunset,5,RGB-LWIR_IP,0.949,Yes,RGB-LWIR
186,150,pre-sunset,5,RGB-LWIR_IP,0.775,Yes,RGB-LWIR
187,200,pre-sunset,5,RGB-LWIR_IP,0.772,Yes,RGB-LWIR
188,250,pre-sunset,5,RGB-LWIR_IP,0.577,Yes,RGB-LWIR
189,300,pre-sunset,5,RGB-LWIR_IP,0.633,Yes,RGB-LWIR
190,350,pre-sunset,5,RGB-LWIR_IP,0.538,Yes,RGB-LWIR
191,400,pre-sunset,5,RGB-LWIR_IP,0.4,Yes,RGB-LWIR
192,50,post-sunset,5,RGB-LWIR_IP,0.838,Yes,RGB-LWIR
193,100,post-sunset,5,RGB-LWIR_IP,1.0,Yes,RGB-LWIR
194,150,post-sunset,5,RGB-LWIR_IP,0.672,Yes,RGB-LWIR
195,200,post-sunset,5,RGB-LWIR_IP,0.627,Yes,RGB-LWIR
196,250,post-sunset,5,RGB-LWIR_IP,0.599,Yes,RGB-LWIR
197,300,post-sunset,5,RGB-LWIR_IP,0.152,Yes,RGB-LWIR
198,350,post-sunset,5,RGB-LWIR_IP,0.55,Yes,RGB-LWIR
199,400,post-sunset,5,RGB-LWIR_IP,0.169,Yes,RGB-LWIR
200,50,pre-sunrise,1,RGB_IP,0.0,Yes,RGB
201,100,pre-sunrise,1,RGB_IP,0.672,Yes,RGB
202,150,pre-sunrise,1,RGB_IP,0.505,Yes,RGB
203,200,pre-sunrise,1,RGB_IP,0.36,Yes,RGB
204,250,pre-sunrise,1,RGB_IP,0.0,Yes,RGB
205,300,pre-sunrise,1,RGB_IP,0.803,Yes,RGB
206,350,pre-sunrise,1,RGB_IP,0.172,Yes,RGB
207,400,pre-sunrise,1,RGB_IP,0.081,Yes,RGB
208,50,post-sunrise,1,RGB_IP,1.0,Yes,RGB
209,100,post-sunrise,1,RGB_IP,0.805,Yes,RGB
210,150,post-sunrise,1,RGB_IP,1.0,Yes,RGB
211,200,post-sunrise,1,RGB_IP,0.865,Yes,RGB
212,250,post-sunrise,1,RGB_IP,0.0,Yes,RGB
213,300,post-sunrise,1,RGB_IP,0.751,Yes,RGB
214,350,post-sunrise,1,RGB_IP,0.392,Yes,RGB
215,400,post-sunrise,1,RGB_IP,0.682,Yes,RGB
216,50,noon,1,RGB_IP,0.732,Yes,RGB
217,100,noon,1,RGB_IP,0.738,Yes,RGB
218,150,noon,1,RGB_IP,0.987,Yes,RGB
219,200,noon,1,RGB_IP,0.938,Yes,RGB
220,250,noon,1,RGB_IP,0.748,Yes,RGB
221,300,noon,1,RGB_IP,0.862,Yes,RGB
222,350,noon,1,RGB_IP,0.747,Yes,RGB
223,400,noon,1,RGB_IP,0.535,Yes,RGB
224,50,pre-sunset,1,RGB_IP,0.672,Yes,RGB
225,100,pre-sunset,1,RGB_IP,0.794,Yes,RGB
226,150,pre-sunset,1,RGB_IP,0.938,Yes,RGB
227,200,pre-sunset,1,RGB_IP,0.726,Yes,RGB
228,250,pre-sunset,1,RGB_IP,0.638,Yes,RGB
229,300,pre-sunset,1,RGB_IP,0.743,Yes,RGB
230,350,pre-sunset,1,RGB_IP,0.669,Yes,RGB
231,400,pre-sunset,1,RGB_IP,0.545,Yes,RGB
232,50,post-sunset,1,RGB_IP,0.505,Yes,RGB
233,100,post-sunset,1,RGB_IP,0.755,Yes,RGB
234,150,post-sunset,1,RGB_IP,0.56,Yes,RGB
235,200,post-sunset,1,RGB_IP,0.148,Yes,RGB
236,250,post-sunset,1,RGB_IP,0.255,Yes,RGB
237,300,post-sunset,1,RGB_IP,0.166,Yes,RGB
238,350,post-sunset,1,RGB_IP,0.106,Yes,RGB
239,400,post-sunset,1,RGB_IP,0.151,Yes,RGB
240,50,pre-sunrise,2,RGB_IP,0.0,Yes,RGB
241,100,pre-sunrise,2,RGB_IP,0.755,Yes,RGB
242,150,pre-sunrise,2,RGB_IP,0.505,Yes,RGB
243,200,pre-sunrise,2,RGB_IP,0.434,Yes,RGB
244,250,pre-sunrise,2,RGB_IP,0.338,Yes,RGB
245,300,pre-sunrise,2,RGB_IP,0.0,Yes,RGB
246,350,pre-sunrise,2,RGB_IP,0.095,Yes,RGB
247,400,pre-sunrise,2,RGB_IP,0.043,Yes,RGB
248,50,post-sunrise,2,RGB_IP,0.505,Yes,RGB
249,100,post-sunrise,2,RGB_IP,0.999,Yes,RGB
250,150,post-sunrise,2,RGB_IP,0.672,Yes,RGB
251,200,post-sunrise,2,RGB_IP,0.959,Yes,RGB
252,250,post-sunrise,2,RGB_IP,0.672,Yes,RGB
253,300,post-sunrise,2,RGB_IP,0.894,Yes,RGB
254,350,post-sunrise,2,RGB_IP,0.405,Yes,RGB
255,400,post-sunrise,2,RGB_IP,0.672,Yes,RGB
256,50,noon,2,RGB_IP,0.905,Yes,RGB
257,100,noon,2,RGB_IP,1.0,Yes,RGB
258,150,noon,2,RGB_IP,1.0,Yes,RGB
259,200,noon,2,RGB_IP,0.904,Yes,RGB
260,250,noon,2,RGB_IP,0.748,Yes,RGB
261,300,noon,2,RGB_IP,0.77,Yes,RGB
262,350,noon,2,RGB_IP,0.776,Yes,RGB
263,400,noon,2,RGB_IP,0.495,Yes,RGB
264,50,pre-sunset,2,RGB_IP,0.531,Yes,RGB
265,100,pre-sunset,2,RGB_IP,0.946,Yes,RGB
266,150,pre-sunset,2,RGB_IP,0.938,Yes,RGB
267,200,pre-sunset,2,RGB_IP,0.736,Yes,RGB
268,250,pre-sunset,2,RGB_IP,0.732,Yes,RGB
269,300,pre-sunset,2,RGB_IP,0.705,Yes,RGB
270,350,pre-sunset,2,RGB_IP,0.568,Yes,RGB
271,400,pre-sunset,2,RGB_IP,0.474,Yes,RGB
272,50,post-sunset,2,RGB_IP,0.205,Yes,RGB
273,100,post-sunset,2,RGB_IP,0.862,Yes,RGB
274,150,post-sunset,2,RGB_IP,0.999,Yes,RGB
275,200,post-sunset,2,RGB_IP,0.253,Yes,RGB
276,250,post-sunset,2,RGB_IP,0.255,Yes,RGB
277,300,post-sunset,2,RGB_IP,0.081,Yes,RGB
278,350,post-sunset,2,RGB_IP,0.23,Yes,RGB
279,400,post-sunset,2,RGB_IP,0.236,Yes,RGB
280,50,pre-sunrise,3,RGB_IP,0.0,Yes,RGB
281,100,pre-sunrise,3,RGB_IP,0.755,Yes,RGB
282,150,pre-sunrise,3,RGB_IP,0.505,Yes,RGB
283,200,pre-sunrise,3,RGB_IP,0.576,Yes,RGB
284,250,pre-sunrise,3,RGB_IP,0.0,Yes,RGB
285,300,pre-sunrise,3,RGB_IP,0.148,Yes,RGB
286,350,pre-sunrise,3,RGB_IP,0.116,Yes,RGB
287,400,pre-sunrise,3,RGB_IP,0.088,Yes,RGB
288,50,post-sunrise,3,RGB_IP,1.0,Yes,RGB
289,100,post-sunrise,3,RGB_IP,0.838,Yes,RGB
290,150,post-sunrise,3,RGB_IP,1.0,Yes,RGB
291,200,post-sunrise,3,RGB_IP,0.823,Yes,RGB
292,250,post-sunrise,3,RGB_IP,0.672,Yes,RGB
293,300,post-sunrise,3,RGB_IP,1.0,Yes,RGB
294,350,post-sunrise,3,RGB_IP,0.695,Yes,RGB
295,400,post-sunrise,3,RGB_IP,0.666,Yes,RGB
296,50,noon,3,RGB_IP,0.641,Yes,RGB
297,100,noon,3,RGB_IP,0.914,Yes,RGB
298,150,noon,3,RGB_IP,0.91,Yes,RGB
299,200,noon,3,RGB_IP,0.88,Yes,RGB
300,250,noon,3,RGB_IP,0.807,Yes,RGB
301,300,noon,3,RGB_IP,0.753,Yes,RGB
302,350,noon,3,RGB_IP,0.597,Yes,RGB
303,400,noon,3,RGB_IP,0.347,Yes,RGB
304,50,pre-sunset,3,RGB_IP,0.593,Yes,RGB
305,100,pre-sunset,3,RGB_IP,0.744,Yes,RGB
306,150,pre-sunset,3,RGB_IP,0.898,Yes,RGB
307,200,pre-sunset,3,RGB_IP,0.755,Yes,RGB
308,250,pre-sunset,3,RGB_IP,0.838,Yes,RGB
309,300,pre-sunset,3,RGB_IP,0.696,Yes,RGB
310,350,pre-sunset,3,RGB_IP,0.61,Yes,RGB
311,400,pre-sunset,3,RGB_IP,0.491,Yes,RGB
312,50,post-sunset,3,RGB_IP,0.505,Yes,RGB
313,100,post-sunset,3,RGB_IP,0.695,Yes,RGB
314,150,post-sunset,3,RGB_IP,0.854,Yes,RGB
315,200,post-sunset,3,RGB_IP,0.278,Yes,RGB
316,250,post-sunset,3,RGB_IP,0.348,Yes,RGB
317,300,post-sunset,3,RGB_IP,0.103,Yes,RGB
318,350,post-sunset,3,RGB_IP,0.151,Yes,RGB
319,400,post-sunset,3,RGB_IP,0.116,Yes,RGB
320,50,pre-sunrise,4,RGB_IP,1.0,Yes,RGB
321,100,pre-sunrise,4,RGB_IP,0.405,Yes,RGB
322,150,pre-sunrise,4,RGB_IP,0.0,Yes,RGB
323,200,pre-sunrise,4,RGB_IP,0.405,Yes,RGB
324,250,pre-sunrise,4,RGB_IP,0.0,Yes,RGB
325,300,pre-sunrise,4,RGB_IP,0.0,Yes,RGB
326,350,pre-sunrise,4,RGB_IP,0.172,Yes,RGB
327,400,pre-sunrise,4,RGB_IP,0.077,Yes,RGB
328,50,post-sunrise,4,RGB_IP,1.0,Yes,RGB
329,100,post-sunrise,4,RGB_IP,0.672,Yes,RGB
330,150,post-sunrise,4,RGB_IP,0.755,Yes,RGB
331,200,post-sunrise,4,RGB_IP,0.815,Yes,RGB
332,250,post-sunrise,4,RGB_IP,0.755,Yes,RGB
333,300,post-sunrise,4,RGB_IP,0.755,Yes,RGB
334,350,post-sunrise,4,RGB_IP,0.505,Yes,RGB
335,400,post-sunrise,4,RGB_IP,0.641,Yes,RGB
336,50,noon,4,RGB_IP,0.697,Yes,RGB
337,100,noon,4,RGB_IP,0.922,Yes,RGB
338,150,noon,4,RGB_IP,0.767,Yes,RGB
339,200,noon,4,RGB_IP,0.88,Yes,RGB
340,250,noon,4,RGB_IP,0.791,Yes,RGB
341,300,noon,4,RGB_IP,0.734,Yes,RGB
342,350,noon,4,RGB_IP,0.374,Yes,RGB
343,400,noon,4,RGB_IP,0.462,Yes,RGB
344,50,pre-sunset,4,RGB_IP,0.905,Yes,RGB
345,100,pre-sunset,4,RGB_IP,0.672,Yes,RGB
346,150,pre-sunset,4,RGB_IP,0.914,Yes,RGB
347,200,pre-sunset,4,RGB_IP,0.81,Yes,RGB
348,250,pre-sunset,4,RGB_IP,0.813,Yes,RGB
349,300,pre-sunset,4,RGB_IP,0.771,Yes,RGB
350,350,pre-sunset,4,RGB_IP,0.512,Yes,RGB
351,400,pre-sunset,4,RGB_IP,0.549,Yes,RGB
352,50,post-sunset,4,RGB_IP,0.576,Yes,RGB
353,100,post-sunset,4,RGB_IP,0.073,Yes,RGB
354,150,post-sunset,4,RGB_IP,0.588,Yes,RGB
355,200,post-sunset,4,RGB_IP,0.505,Yes,RGB
356,250,post-sunset,4,RGB_IP,0.332,Yes,RGB
357,300,post-sunset,4,RGB_IP,0.168,Yes,RGB
358,350,post-sunset,4,RGB_IP,0.17,Yes,RGB
359,400,post-sunset,4,RGB_IP,0.325,Yes,RGB
360,50,pre-sunrise,5,RGB_IP,0.0,Yes,RGB
361,100,pre-sunrise,5,RGB_IP,0.405,Yes,RGB
362,150,pre-sunrise,5,RGB_IP,0.128,Yes,RGB
363,200,pre-sunrise,5,RGB_IP,0.0,Yes,RGB
364,250,pre-sunrise,5,RGB_IP,0.0,Yes,RGB
365,300,pre-sunrise,5,RGB_IP,0.337,Yes,RGB
366,350,pre-sunrise,5,RGB_IP,0.146,Yes,RGB
367,400,pre-sunrise,5,RGB_IP,0.431,Yes,RGB
368,50,post-sunrise,5,RGB_IP,0.719,Yes,RGB
369,100,post-sunrise,5,RGB_IP,1.0,Yes,RGB
370,150,post-sunrise,5,RGB_IP,0.672,Yes,RGB
371,200,post-sunrise,5,RGB_IP,0.999,Yes,RGB
372,250,post-sunrise,5,RGB_IP,0.935,Yes,RGB
373,300,post-sunrise,5,RGB_IP,0.38,Yes,RGB
374,350,post-sunrise,5,RGB_IP,0.747,Yes,RGB
375,400,post-sunrise,5,RGB_IP,0.588,Yes,RGB
376,50,noon,5,RGB_IP,0.851,Yes,RGB
377,100,noon,5,RGB_IP,0.922,Yes,RGB
378,150,noon,5,RGB_IP,0.88,Yes,RGB
379,200,noon,5,RGB_IP,0.819,Yes,RGB
380,250,noon,5,RGB_IP,0.758,Yes,RGB
381,300,noon,5,RGB_IP,0.867,Yes,RGB
